Date,Forecast,Lower_CI,Upper_CI
2024-11-25,99128.67856713588,95599.2978261669,102658.05930810486
2024-11-26,99135.967067378,94144.66895672127,104127.26517803474
2024-11-27,99223.20792525141,93110.14116263806,105336.27468786476
2024-11-28,98989.57173731961,91930.81025538166,106048.33321925756
2024-11-29,99420.01505107876,91528.07979579356,107311.95030636397
2024-11-30,99268.8883532062,90623.70642982621,107914.0702765862
2024-12-01,98984.32913064605,89646.46540798128,108322.19285331081
2024-12-02,98624.24192076437,88569.05374289228,108679.43009863645
2024-12-03,98875.06872419744,88150.42795250825,109599.70949588662
2024-12-04,99120.44699617836,87765.75501131425,110475.13898104247
2024-12-05,99803.46340445646,87851.88859355824,111755.03821535468
2024-12-06,99695.98878738035,87175.95480779962,112216.02276696109
2024-12-07,99586.13213225474,86522.35162126881,112649.91264324068
2024-12-08,99736.43858578564,86150.65661975309,113322.22055181819
2024-12-09,100041.56724002936,85837.60596279336,114245.52851726535
2024-12-10,99939.48790757201,85143.15186442052,114735.8239507235
2024-12-11,99850.91539201204,84485.02444359945,115216.80634042463
2024-12-12,99537.22569511182,83622.1495415035,115452.30184872013
2024-12-13,99642.06416131141,83196.1317367939,116087.99658582892
2024-12-14,99665.9253353493,82705.74439149021,116626.10627920838
2024-12-15,99564.03853716938,82104.74926225659,117023.32781208218
2024-12-16,99387.86593383853,81475.69026641115,117300.04160126591
2024-12-17,99465.17452080824,81111.2841349399,117819.06490667659
2024-12-18,99536.16308816681,80750.94157091653,118321.38460541709
2024-12-19,99761.36293082974,80554.4942998463,118968.23156181318
2024-12-20,99703.12174677686,80083.66564413354,119322.57784942018
2024-12-21,99677.8319158653,79654.2879508415,119701.3758808891
2024-12-22,99740.89575047053,79321.25892522474,120160.53257571632
2024-12-23,99856.31395304241,79025.30153041077,120687.32637567405
2024-12-24,99810.14969337954,78575.72978068277,121044.56960607631
